Area,AspectRatio,Diameter,MeanGrey,StageX,StageY,O,Mgx,Alx,Si,S,Cax,Ti,Mn,Fe,Mg,Al,Ca
0.7364031,1.70366,0.9683065,91.34375,2.710801,0.21871,14.99324,1.056168,9.893409,0.2906792,0.1365537,5.853593,0,6.036955,61.7394,0.077990317,0.659944839,0.262064844
0.09205039,1.802704,0.3423481,121.25,0.419992,0.32799,11.5111,3.264428,7.234249,0,0.5632229,0.04238611,0.2256809,3.628061,73.53087,0.332252093,0.665132359,0.002615548
0.460252,1.16619,0.7655135,87.25,0.819265,0.3787,13.4931,1.818574,8.380479,0.1040103,1.819733,3.502005,0.06981193,9.609847,61.20244,0.157968386,0.657600356,0.184431257
1.127617,1.350415,1.198218,73.53061,0.961707,0.32549,27.14916,3.462997,18.40434,0.02985251,0.07016709,7.881431,0,4.287549,38.7145,0.139261356,0.66857902,0.192159625
0.1380756,1.273152,0.419289,116.8333,1.002858,0.28775,17.27052,5.488175,10.48096,0,0.6242204,0,0.09904038,0.8691207,65.16796,0.366952148,0.633047852,0
0.2071134,1.763408,0.5135221,120.2222,1.141219,0.39414,6.108268,0.2630645,2.899208,0.1765912,1.314396,3.000203,0,9.39915,76.83912,0.055958824,0.557108389,0.386932787
0.09205039,1.581131,0.3423481,116.75,1.209423,0.37361,9.59143,2.895759,5.26304,0,0,0,0,2.23938,80.01039,0.378525458,0.621474542,0
0.1380756,1.273137,0.419289,135.6667,1.190541,0.34939,8.274731,0.1885013,6.514523,0.1823089,0,0.2436486,0,1.098215,83.49807,0.030300371,0.945954416,0.023745213
0.4832645,1.16619,0.7844179,111.0476,1.268008,0.27999,9.065483,0.5417408,6.517418,0.1104544,0.2231052,4.320166,0,6.997219,72.22441,0.059870886,0.650659399,0.289469715
0.1380756,1.802773,0.419289,134.3333,1.428783,0.37388,12.58208,3.710574,8.608055,0.1920061,0,0.043915,0,6.363488,68.49988,0.322287311,0.675400126,0.002312563
0.7364031,1.535472,0.9683065,97.1875,1.597476,0.37459,11.389,0.01601998,7.137667,0.07542154,2.693156,7.992425,0.1626569,9.902972,60.63068,0.001416506,0.570120391,0.428463103
0.09205039,1.414207,0.3423481,117.75,1.662503,0.30523,11.29548,3.685653,7.263687,0,0,0.08055848,0,7.977391,69.69723,0.357965401,0.637290908,0.004743691
1.702932,1.201848,1.472495,73.58108,2.135932,0.34722,28.92228,2.640929,20.7392,0.4194016,0.8415118,9.581576,0,9.098051,27.75705,0.097147317,0.689160027,0.213692655
0.3682016,1.34133,0.6846961,99,2.122656,0.26929,11.76167,4.296561,7.926411,0,0.01242152,0.02519486,0,8.947732,67.03001,0.374521782,0.624146702,0.001331517
1.15063,1.118034,1.210383,73.62,2.181753,0.4014,24.95115,4.395275,18.26216,0,0.4137752,5.600701,0.2066396,6.122559,40.04774,0.180965224,0.67922742,0.139807356
1.610882,1.201845,1.432145,77.41428,2.350905,0.40363,22.08641,1.712359,15.54259,0.3909313,1.557128,8.652911,0,6.657473,43.40019,0.0815454,0.668624107,0.249830493
0.2761512,1.118034,0.5929642,103.5,2.369483,0.32439,14.13312,5.31848,9.784179,0.2205652,0.8258476,0.003428617,0,7.525395,62.18898,0.375623938,0.624229249,0.000146813
0.2761512,1.118034,0.5929642,94.25,2.529828,0.37519,14.55707,5.31008,10.04674,0,0.418746,0,0.1105284,7.993762,61.56307,0.369120584,0.630879416,0
0.09205039,1.581146,0.3423481,128.75,2.475958,0.31801,5.770677,2.545801,4.587018,0.03715872,0,0,0,8.080883,78.97846,0.380568751,0.619431249,0
0.2761512,1.643854,0.5929642,112.4167,2.547863,0.31779,12.87515,4.490329,8.434946,0,0.2894811,0,0,6.92316,66.98693,0.370795085,0.629204915,0
0.1610882,1.201853,0.4528839,100.5714,2.529582,0.29145,12.29894,3.823967,8.941292,0.1481656,0.9660568,0,0,9.731894,64.08968,0.321313551,0.678686449,0
0.2991638,1.249993,0.6171767,105.2308,0.011222,0.50395,13.1204,4.255057,9.573935,0.3268914,0.06524859,0,0,9.863598,62.79487,0.329756581,0.670243419,0
0.09205039,1.414215,0.3423481,130,0.134302,0.46961,6.754302,0,3.168243,0,2.831926,4.444375,0.009353213,8.207659,74.58414,0,0.51506771,0.48493229
0.6443527,1.118032,0.9057679,87.96429,0.131275,0.42047,25.34951,1.178171,17.20523,0,0.604127,12.15859,0.01046194,5.313755,38.18016,0.048902911,0.645120527,0.305976561
0.1380756,2.046378,0.419289,111,0.222872,0.41019,13.72929,4.276535,9.100196,0,2.187004,0,0.000271615,9.157843,61.54886,0.342200599,0.657799401,0
2.554398,1.421633,1.80343,80.27928,0.452393,0.4614,24.77376,1.096768,17.17707,0.1587723,1.598021,12.93424,0.6358209,3.525088,38.10046,0.044847558,0.634493393,0.32065905
0.09205039,1.414215,0.3423481,129.5,0.558197,0.53633,8.185089,2.547623,5.033384,0.1622654,0.9676118,0.04054323,0.00347584,3.985403,79.0746,0.357857968,0.638689224,0.003452808
1.173643,1.215573,1.222427,82.27451,0.645769,0.44717,26.79319,1.17396,18.39868,0,0.9788843,15.16698,0.144727,5.518191,31.82539,0.043496306,0.615800072,0.340703622
0.345189,1.346268,0.6629542,98.06667,0.821266,0.54314,15.31726,5.684244,11.01347,0.3055081,0.2281108,0,0.2857605,8.102627,59.06301,0.363600448,0.636399552,0
0.1841008,1.369868,0.4841533,121.625,0.877549,0.49231,13.60786,4.577773,9.20008,0,0.2935489,0,0,9.090098,63.23064,0.355179289,0.644820711,0
